GSM8005200	DLBCL_01, DE
GSM8005201	DLBCL_02, nonDE
GSM8005202	DLBCL_03, DE
GSM8005203	DLBCL_04, DE
GSM8005204	DLBCL_05, DE
GSM8005205	DLBCL_06, nonDE
GSM8005206	DLBCL_07, DE
GSM8005207	DLBCL_08, nonDE
GSM8005208	DLBCL_09, DE
GSM8005209	DLBCL_10, nonDE
GSM8005210	DLBCL_11, nonDE
GSM8005211	DLBCL_12, DE
GSM8005212	DLBCL_13, nonDE
GSM8005213	DLBCL_14, DE
GSM8005214	DLBCL_15, nonDE
GSM8005215	DLBCL_16, nonDE
GSM8005216	DLBCL_17, DE
GSM8005217	DLBCL_18, nonDE
GSM8005218	DLBCL_19, nonDE
GSM8005219	DLBCL_20, nonDE
GSM8005220	DLBCL_21, nonDE
GSM8005221	DLBCL_22, DE
GSM8005222	DLBCL_23, DE
GSM8005223	DLBCL_24, nonDE
GSM8005224	DLBCL_25, DE
GSM8005225	DLBCL_26, DE
GSM8005226	DLBCL_27, DE
GSM8005227	DLBCL_28, nonDE
